( passenger, driver )
( 4873, 116)
( 649, 645)
( 4974, 3881)
( 4977, 116)
( 4021, 116)
( 4978, 3881)
( 4979, 3881)
( 4861, 3881)
( 4906, 116)
( 4029, 3881)
( 3923, 3881)
( 712, 645)
( 4919, 3881)
( 697, 1695)
( 4920, 3881)
( 3970, 116)
( 667, 645)
( 4045, 116)
( 4956, 3881)
( 710, 645)
( 4922, 3881)
( 4892, 116)
( 3902, 116)
( 4992, 116)
( 4844, 116)
( 3901, 3881)
( 634, 645)
( 4994, 3881)
( 632, 645)
( 4842, 3881)
( 3966, 3881)
( 4841, 116)
( 3896, 116)
( 4005, 3881)
( 3977, 3881)
( 4959, 116)
( 3887, 3881)
( 3889, 3881)
( 3911, 3881)
( 660, 645)
( 4954, 3881)
( 3963, 3881)
( 3910, 3881)
( 4929, 116)
( 4838, 116)
( 3978, 116)
( 631, 645)
( 4044, 116)
( 4930, 3881)
( 4995, 3881)
( 738, 645)
( 637, 429)
( 2219, 891)
( 2216, 387)
( 2204, 891)
( 4607, 4870)
( 4610, 4084)
( 2690, 3297)
( 2721, 387)
( 4588, 4870)
( 2668, 891)
( 2688, 3297)
( 2709, 891)
( 2704, 4084)
( 2217, 891)
( 4596, 4870)
( 2701, 891)
( 4598, 4084)
( 2218, 387)
( 2214, 891)
( 2706, 891)
( 2707, 891)
( 4592, 3245)
( 4950, 3245)
( 2716, 3297)
( 4953, 3245)
( 2209, 891)
( 4955, 3245)
( 4602, 3245)
( 2694, 3297)
( 4590, 4870)
( 4605, 4084)
( 4606, 3245)
( 2693, 891)
( 2227, 891)
( 4938, 3245)
( 2648, 891)
( 2647, 3297)
( 2645, 387)
( 2644, 891)
( 4640, 3245)
( 2641, 387)
( 2639, 4084)
( 4641, 3245)
( 2226, 891)
( 4643, 3245)
( 2636, 387)
( 2635, 4084)
( 2650, 891)
( 2228, 891)
( 4936, 3245)
( 4646, 3245)
( 2233, 891)
( 2630, 891)
( 4653, 3245)
( 2628, 4084)
( 4654, 4870)
( 2626, 891)
( 2234, 3297)
( 2235, 891)
( 2258, 891)
( 2236, 387)
( 2681, 4084)
( 2679, 3297)
( 2678, 891)
( 4949, 3245)
( 4614, 4870)
( 4948, 4870)
( 2674, 891)
( 2673, 3297)
( 2671, 891)
( 4618, 3245)
( 2670, 891)
( 4947, 3245)
( 4620, 4870)
( 2683, 3297)
( 2665, 3297)
( 4621, 3245)
( 2664, 891)
( 4946, 3245)
( 4943, 3245)
( 4627, 3245)
( 4940, 3245)
( 4628, 3245)
( 2222, 891)
( 2658, 387)
( 2223, 387)
( 4634, 3245)
( 2170, 891)
( 4988, 4870)
( 2824, 891)
( 4532, 3245)
( 2821, 891)
( 4533, 3245)
( 4984, 3245)
( 2167, 387)
( 2818, 3297)
( 2168, 891)
( 4982, 4870)
( 2169, 387)
( 2815, 387)
( 2814, 4084)
( 2812, 3297)
( 4534, 4870)
( 2827, 891)
( 2174, 891)
( 2809, 4084)
( 4535, 3245)
( 4537, 4870)
( 2806, 891)
( 2805, 4084)
( 2175, 387)
( 4542, 4870)
( 2176, 891)
( 4545, 4870)
( 2802, 4084)
( 2801, 891)
( 4981, 3245)
( 2157, 845)
( 2501, 891)
( 2858, 4084)
( 4513, 4084)
( 2151, 387)
( 2856, 4084)
( 4999, 4870)
( 4996, 4870)
( 4514, 3245)
( 2849, 387)
( 2153, 387)
( 4516, 4870)
( 4517, 4870)
( 2844, 3297)
( 2156, 891)
( 2800, 891)
( 2841, 891)
( 2158, 891)
( 2840, 387)
( 2836, 387)
( 2835, 4084)
( 4993, 4870)
( 2834, 891)
( 2833, 4084)
( 2832, 387)
( 4990, 3245)
( 4525, 3245)
( 2829, 4084)
( 2162, 387)
( 4529, 3245)
( 2738, 4084)
( 4966, 3245)
( 2195, 891)
( 2756, 387)
( 2196, 891)
( 2755, 4084)
( 2751, 3297)
( 2750, 891)
( 2748, 387)
( 4961, 3245)
( 2746, 891)
( 4567, 3245)
( 2744, 3497)
( 4572, 3245)
( 2740, 891)
( 2200, 387)
( 4564, 3245)
( 2737, 891)
( 2201, 891)
( 2736, 891)
( 4958, 4870)
( 2734, 891)
( 2733, 891)
( 4578, 3245)
( 2730, 387)
( 2729, 891)
( 4580, 3245)
( 2726, 3297)
( 4581, 3245)
( 4582, 4870)
( 4583, 4084)
( 2787, 891)
( 2798, 3297)
( 4549, 4870)
( 2796, 3297)
( 4551, 4084)
( 4553, 3245)
( 4555, 3245)
( 2792, 4084)
( 2186, 891)
( 4973, 3245)
( 2790, 387)
( 4972, 3245)
( 2789, 3297)
( 2788, 891)
( 4971, 3245)
( 2203, 387)
( 2190, 891)
( 4970, 3245)
( 2784, 3297)
( 4556, 4870)
( 2780, 4084)
( 2779, 3297)
( 2776, 4084)
( 4968, 3245)
( 2773, 4084)
( 2193, 891)
( 2767, 4084)
( 4563, 4870)
( 4860, 3245)
( 2330, 891)
( 2331, 387)
( 4765, 4870)
( 4865, 4870)
( 2473, 387)
( 4863, 3245)
( 2471, 891)
( 2470, 387)
( 2333, 891)
( 2464, 4084)
( 2463, 387)
( 2334, 387)
( 2460, 891)
( 4862, 3245)
( 2458, 387)
( 2478, 387)
( 4777, 4870)
( 2454, 891)
( 4854, 3245)
( 4778, 4870)
( 2453, 3297)
( 2343, 387)
( 4853, 4870)
( 2452, 3297)
( 4852, 3245)
( 2450, 891)
( 4784, 4870)
( 2445, 3297)
( 2345, 387)
( 4851, 3245)
( 2443, 4084)
( 4748, 4870)
( 4881, 3245)
( 4880, 4870)
( 2505, 891)
( 4878, 3245)
( 2498, 891)
( 2497, 3297)
( 4739, 4870)
( 4876, 3245)
( 4743, 3245)
( 4874, 4870)
( 2319, 387)
( 4745, 3245)
( 2320, 891)
( 2493, 387)
( 4747, 4870)
( 4850, 3245)
( 4749, 3245)
( 2486, 387)
( 4750, 4870)
( 4753, 1547)
( 4872, 4870)
( 2484, 387)
( 4754, 3245)
( 2482, 891)
( 2323, 891)
( 4758, 4870)
( 4760, 3245)
( 2480, 891)
( 4763, 4870)
( 2325, 387)
( 2479, 4084)
( 2388, 891)
( 4808, 3245)
( 2408, 387)
( 4809, 4870)
( 2405, 891)
( 2404, 387)
( 2403, 3297)
( 2359, 387)
( 4811, 4870)
( 4813, 3245)
( 4814, 4870)
( 4817, 3245)
( 2360, 891)
( 2361, 891)
( 2396, 891)
( 4824, 4870)
( 4847, 4277)
( 2387, 3297)
( 2386, 387)
( 2385, 3297)
( 2384, 3297)
( 2383, 891)
( 2382, 387)
( 4827, 3245)
( 4829, 4870)
( 4831, 4870)
( 2369, 4084)
( 2377, 387)
( 4832, 3245)
( 2370, 891)
( 4837, 4870)
( 2373, 3297)
( 2432, 891)
( 4787, 4870)
( 2440, 3297)
( 2438, 3297)
( 4788, 4277)
( 2436, 387)
( 4849, 4870)
( 4789, 4277)
( 4791, 4870)
( 2351, 3297)
( 2352, 891)
( 4792, 3245)
( 2353, 891)
( 2434, 3297)
( 4794, 3245)
( 4796, 3245)
( 4735, 4870)
( 2357, 891)
( 2430, 891)
( 2429, 387)
( 2428, 891)
( 2423, 387)
( 2422, 891)
( 4799, 4870)
( 2421, 891)
( 4801, 4870)
( 4802, 3245)
( 4848, 3245)
( 4803, 4870)
( 2413, 891)
( 4805, 4870)
( 2409, 3297)
( 2584, 891)
( 2599, 891)
( 2598, 891)
( 4909, 3245)
( 2597, 3297)
( 2596, 891)
( 4683, 3245)
( 2595, 891)
( 4908, 4870)
( 2591, 387)
( 2590, 3297)
( 4685, 4870)
( 2588, 387)
( 2275, 891)
( 4907, 4870)
( 4688, 3245)
( 4682, 3245)
( 4905, 3245)
( 4690, 3245)
( 2582, 891)
( 2581, 387)
( 2578, 891)
( 4694, 4870)
( 4698, 4870)
( 2574, 891)
( 2278, 891)
( 2573, 387)
( 2280, 387)
( 4701, 3245)
( 4901, 3245)
( 2572, 387)
( 4900, 4870)
( 4918, 4870)
( 2624, 891)
( 2240, 387)
( 4665, 4870)
( 4927, 3245)
( 2621, 891)
( 4925, 4277)
( 2245, 891)
( 4923, 4870)
( 2247, 891)
( 2249, 891)
( 2616, 4084)
( 2614, 4084)
( 2613, 891)
( 2612, 891)
( 4671, 4870)
( 2570, 387)
( 2611, 3297)
( 2372, 4084)
( 2259, 891)
( 4677, 4870)
( 2609, 891)
( 2608, 3297)
( 2607, 891)
( 4917, 4870)
( 2606, 891)
( 2263, 891)
( 4916, 4870)
( 4912, 3245)
( 4680, 3245)
( 2603, 891)
( 2601, 891)
( 2305, 3297)
( 2542, 387)
( 4891, 4870)
( 4719, 4870)
( 4890, 3245)
( 2533, 3297)
( 2532, 891)
( 4720, 3245)
( 4722, 4870)
( 4723, 3245)
( 2527, 387)
( 4725, 4870)
( 4889, 3245)
( 2523, 891)
( 2522, 891)
( 2521, 387)
( 2545, 891)
( 4727, 3245)
( 4888, 3245)
( 2515, 3297)
( 2513, 3297)
( 4887, 4870)
( 2512, 891)
( 2511, 387)
( 4885, 4870)
( 2509, 891)
( 4730, 4870)
( 2309, 891)
( 2976, 4084)
( 4883, 4870)
( 4734, 4870)
( 4882, 3245)
( 2556, 891)
( 2568, 891)
( 4705, 3245)
( 2283, 891)
( 2567, 387)
( 2566, 387)
( 4706, 3245)
( 4899, 3245)
( 2289, 387)
( 4709, 3245)
( 2290, 891)
( 2560, 3297)
( 2291, 891)
( 2558, 387)
( 2557, 387)
( 2294, 891)
( 4932, 4870)
( 2555, 3297)
