( passenger, driver )
( 2428, -1)
( 2433, 13)
( 2434, -1)
( 2441, 1737)
( 2442, -1)
( 2443, 1633)
( 2444, -1)
( 2445, -1)
( 2446, 1876)
( 2447, 2590)
( 2449, 2358)
( 2451, 304)
( 2452, -1)
( 2456, -1)
( 2458, -1)
( 2464, -1)
( 2467, 951)
( 2469, -1)
( 2470, 1447)
( 2472, -1)
( 2476, -1)
( 2482, 587)
( 2485, -1)
( 2486, 2853)
( 2487, -1)
( 2488, 1467)
( 2494, 1805)
( 2495, 2499)
( 2498, 2094)
( 2500, -1)
( 2501, -1)
( 2504, -1)
( 2506, -1)
( 2508, -1)
( 2509, 2339)
( 2512, 2528)
( 2518, -1)
( 2519, 467)
( 2520, -1)
( 2521, -1)
( 2523, -1)
( 2524, 1727)
( 2526, -1)
( 2527, -1)
( 2528, 160)
( 2529, -1)
( 2533, 2351)
( 2534, 2290)
( 2536, -1)
( 2538, 2120)
( 2539, 435)
( 2545, 1015)
( 2546, 1366)
( 2549, 1759)
( 2552, -1)
( 2553, 1025)
( 2555, 1933)
( 2556, -1)
( 2559, -1)
( 2561, -1)
( 2562, -1)
( 2564, -1)
( 2565, 2432)
( 2566, 2175)
( 2567, 453)
( 2568, -1)
( 2570, 120)
( 2571, 1953)
( 2572, -1)
( 2573, -1)
( 2575, -1)
( 2577, -1)
( 2578, -1)
( 2579, -1)
( 2580, -1)
( 2581, -1)
( 2582, 986)
( 2584, -1)
( 2586, -1)
( 2587, 1539)
( 2589, -1)
( 2590, 1952)
( 2594, -1)
( 2595, -1)
( 2596, -1)
( 2597, -1)
( 2598, -1)
( 2599, 1930)
( 2600, 1839)
( 2602, -1)
( 2603, 2830)
( 2604, -1)
( 2605, 1211)
( 2610, -1)
( 2611, 1359)
( 2613, 1169)
( 2614, -1)
( 2623, -1)
( 2627, -1)
( 2628, 919)
( 2629, -1)
( 2631, 2292)
( 2632, -1)
( 2634, -1)
( 2635, -1)
( 2636, -1)
( 2637, 2182)
( 2638, 2961)
( 2640, -1)
( 2641, 2959)
( 2642, 1705)
( 2644, -1)
( 2645, -1)
( 2646, -1)
( 2647, 130)
( 2652, -1)
( 2657, -1)
( 2660, 918)
( 2661, 335)
( 2663, -1)
( 2664, -1)
( 2665, 289)
( 2666, -1)
( 2670, -1)
( 2672, -1)
( 2673, -1)
( 2676, 1744)
( 2677, -1)
( 2678, 1987)
( 2679, -1)
( 2681, 666)
( 2682, 1131)
( 2684, 1669)
( 2688, 2145)
( 2691, 93)
( 2695, -1)
( 2696, 2667)
( 2699, 1100)
( 2700, 1407)
( 2701, -1)
( 2703, 2748)
( 2704, 2188)
( 2708, -1)
( 2710, 65)
( 2715, -1)
( 2723, -1)
( 2725, -1)
( 2728, 508)
( 2729, -1)
( 2732, -1)
( 2734, 1548)
( 2735, 2829)
( 2737, 589)
( 2738, -1)
( 2739, -1)
( 2741, -1)
( 2742, 1872)
( 2744, 1845)
( 2745, -1)
( 2746, -1)
( 2751, 2411)
( 2753, -1)
( 2754, -1)
( 2758, 2885)
( 2762, -1)
( 2764, -1)
( 2765, 2330)
( 2766, 2871)
( 2767, 2888)
( 2769, 1789)
( 2770, 654)
( 2771, -1)
( 2772, -1)
( 2774, 1613)
( 2777, -1)
( 2780, 1307)
( 2781, -1)
( 2783, 123)
( 2784, 1867)
( 2785, -1)
( 2786, -1)
( 2787, 1525)
( 2788, 716)
( 2790, 821)
( 2791, 490)
( 2792, -1)
( 2795, -1)
( 2796, 622)
( 2797, 2861)
( 2799, 1503)
( 2802, 1761)
( 2803, 1384)
( 2804, 2475)
( 2806, 2835)
( 2807, 602)
( 2810, -1)
( 2818, -1)
( 2821, 74)
( 2823, 582)
( 2824, 2284)
( 2825, -1)
( 2828, 2409)
( 2829, -1)
( 2831, 1236)
( 2835, -1)
( 2836, -1)
( 2837, 2846)
( 2838, -1)
( 2840, -1)
( 2845, -1)
( 2846, -1)
( 2849, 1519)
( 2853, 839)
( 2855, -1)
( 2859, -1)
( 2860, -1)
( 2861, 2157)
( 2865, -1)
( 2869, 832)
( 2870, -1)
( 2872, 655)
( 2874, -1)
( 2879, -1)
( 2881, 1048)
( 2884, 1339)
( 2885, -1)
( 2887, -1)
( 2888, -1)
( 2893, -1)
( 2901, -1)
( 2902, -1)
( 2905, -1)
( 2907, 2075)
( 2909, -1)
( 2910, 42)
( 2911, 2633)
( 2912, 247)
( 2915, -1)
( 2916, 694)
( 2917, -1)
( 2923, 1481)
( 2925, 1420)
( 2926, 342)
( 2928, -1)
( 2932, -1)
( 2934, -1)
